term,url,text
ABEL BAPTISTA,https://arquivo.pt/noFrame/replay/20080229005203id_/http://dossiers.publico.pt/noticia.aspx?idCanal=2144&id=1297929,"De acordo com Miguel Relvas, Guilhermino Rodrigues não gostou de ouvir o professor do Instituto Superior Técnico insinuar, no colóquio realizado no Parlamento sobre o tema, poder haver ligações entre aquela decisão do Governo e um eventual financiamento de partidos políticos, e disponibilizou-se para prestar esclarecimentos sobre o assunto.    Ontem, na reunião da comissão de Obras Públicas, José Junqueiro (PS) mostrou-se aberto à audição, mas os restantes partidos entenderam que tal não fazia sentido. ""A comissão não tem de dar guarida a indignações deste género"", considerou Jorge Costa (PSD), ""muito menos prestadas fora da comissão"", acrescentou Bruno Dias (PCP). ""Não somos juiz de paz nem temos de dirimir conflitos"" de terceiros, juntou ainda Abel Baptista (CDS/PP).    Para ""desdramatizar"" o assunto, Miguel Relvas acabou por propor ouvir Guilhermino Rodrigues numa reunião de representantes dos partidos na comissão, o que foi aceite.    Mais consenso houve em relação aos dois requerimentos para audições, que acabaram por ser aprovados por unanimidade. O primeiro, apresentado pelo PSD, propunha a audição dos três técnicos responsáveis pela elaboração do estudo da CIP sobre a localização alternativa ao aeroporto em Alcochete, assim como os responsáveis do LNEC que vão aprofundar esse estudo.    ""Temos de conhecer o despacho do Governo que mandata o LNEC para realizar esse trabalho, e também temos de saber quem são as entidades que este laboratório vai contratar e qual a metodologia que vai ser seguida"", explicou Jorge Costa. É o que vai acontecer, mas, antes, serão chamados Carlos Borrego, Hernâni Lopes e José Manuel Viegas, para explicarem a opção por Alcochete do ponto de vista ambiental, financeiro e de transportes. O segundo requerimento, apresentado quinta-feira pelo PS, pede a audição com carácter de urgência do ministro das Obras Públicas, Mário Lino, para explicar aos deputados o modelo de financiamento do TGV.    Os deputados socialistas não gostaram de ver esta grande opção do Governo ser divulgada publicamente sem que estes fossem convidados para a cerimónia e no mesmo dia solicitaram a presença de Mário Lino na comissão, num requerimento subscrito à cabeça por dois vice-presidentes da bancada, José Junqueiro e Mota Andrade, e todos os socialistas da comissão de Obras Públicas. ""Seria muito mais fácil se o Governo, antes de apresentar publicamente este tipo de propostas, as discutisse previamente com o grupo parlamentar"", frisou ao PÚBLICO um socialista."
ABEL BAPTISTA,https://arquivo.pt/noFrame/replay/20080311182847id_/http://dossiers.publico.pt/noticia.aspx?idCanal=2144&id=1297929,"De acordo com Miguel Relvas, Guilhermino Rodrigues não gostou de ouvir o professor do Instituto Superior Técnico insinuar, no colóquio realizado no Parlamento sobre o tema, poder haver ligações entre aquela decisão do Governo e um eventual financiamento de partidos políticos, e disponibilizou-se para prestar esclarecimentos sobre o assunto.    Ontem, na reunião da comissão de Obras Públicas, José Junqueiro (PS) mostrou-se aberto à audição, mas os restantes partidos entenderam que tal não fazia sentido. ""A comissão não tem de dar guarida a indignações deste género"", considerou Jorge Costa (PSD), ""muito menos prestadas fora da comissão"", acrescentou Bruno Dias (PCP). ""Não somos juiz de paz nem temos de dirimir conflitos"" de terceiros, juntou ainda Abel Baptista (CDS/PP).    Para ""desdramatizar"" o assunto, Miguel Relvas acabou por propor ouvir Guilhermino Rodrigues numa reunião de representantes dos partidos na comissão, o que foi aceite.    Mais consenso houve em relação aos dois requerimentos para audições, que acabaram por ser aprovados por unanimidade. O primeiro, apresentado pelo PSD, propunha a audição dos três técnicos responsáveis pela elaboração do estudo da CIP sobre a localização alternativa ao aeroporto em Alcochete, assim como os responsáveis do LNEC que vão aprofundar esse estudo.    ""Temos de conhecer o despacho do Governo que mandata o LNEC para realizar esse trabalho, e também temos de saber quem são as entidades que este laboratório vai contratar e qual a metodologia que vai ser seguida"", explicou Jorge Costa. É o que vai acontecer, mas, antes, serão chamados Carlos Borrego, Hernâni Lopes e José Manuel Viegas, para explicarem a opção por Alcochete do ponto de vista ambiental, financeiro e de transportes. O segundo requerimento, apresentado quinta-feira pelo PS, pede a audição com carácter de urgência do ministro das Obras Públicas, Mário Lino, para explicar aos deputados o modelo de financiamento do TGV.    Os deputados socialistas não gostaram de ver esta grande opção do Governo ser divulgada publicamente sem que estes fossem convidados para a cerimónia e no mesmo dia solicitaram a presença de Mário Lino na comissão, num requerimento subscrito à cabeça por dois vice-presidentes da bancada, José Junqueiro e Mota Andrade, e todos os socialistas da comissão de Obras Públicas. ""Seria muito mais fácil se o Governo, antes de apresentar publicamente este tipo de propostas, as discutisse previamente com o grupo parlamentar"", frisou ao PÚBLICO um socialista."
ABEL BAPTISTA,https://arquivo.pt/noFrame/replay/20050621190134id_/http://www.publico.pt/servico/notinuse/proggov/governo3/comp3.html,"Composição do III Governo Constitucional  Tomada de posse a 29 de Agosto de 1978  Cessação de funções a 15 de Setembro de 1978  b) - Decreto nº 86/78  Nomeia vários Ministros  c) - Decreto nº 87/78  Nomeia dois Secretários de Estado  d) - Decreto nº 91/78  Nomeia vários Secretários de Estado  e) - Decreto nº 92/78  Nomeia dois Subsecretários de Estado    PRESIDÊNCIA DO CONSELHO DE MINISTROS  Primeiro Ministro  Engº. Alfredo Jorge Nobre da Costa  Decreto nº 85/78  DR., I Sér., nº197, Supl., 28/8/78  Ministro Adjunto do Primeiro-Ministro  Dr. Carlos Manuel da Costa Freitas  Decreto nº 86/78  DR., I Sér., nº198, Supl., 29/8/78   Secretário de Estado da Presidência do Conselho de Ministros  Dr. Luis Artur Rosado Lobo  Decreto nº 87/78  DR., I Sér., nº198, Supl., 29/8/78   Secretário de Estado da Comunicação Social  Major João António de Figueiredo  Decreto nº 87/78  DR., I Sér., nº198, Supl., 29/8/78   Secretário de Estado da População e Emprego  Engº. Manuel Alfredo Tito de Morais  Decreto nº 636-A/76  DR., I Sér., nº 175, Supl., 28/7/76   Secretário de Estado da Administração Pública  Dr. António Jorge de Figueiredo Lopes  Decreto nº 91/78  DR., I Sér., nº206, Supl., 7/9/78    MINISTÉRIO DA DEFESA NACIONAL  Ministro da Defesa Nacional  Coronel Mário Firmino Miguel  Decreto nº 86/78  DR., I Sér., nº198, Supl., 29/8/78    MINISTÉRIO DAS FINANÇAS E PLANO  Ministro das Finanças e do Plano  Dr. José da Silva Lopes  Decreto nº 86/78  DR., I Sér., nº198, Supl., 29/8/78   Secretário de Estado do Tesouro  Drª. Maria Manuela Matos Morgado Santiago Baptista  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado do Orçamento  Dr. José Alberto dos Santos Ramalheiro  Decreto nº 92/78  DR., I Sér., nº 206, Supl., 7/9/78   Subsecretário de Estado do Orçamento  Dr. Ludovico Lázaro Morgado Cândido  Decreto nº 92/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado das Finanças  Dr. Eurico Macedo Ferreira Nunes  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DA ADMINISTRAÇÃO INTERNA  Ministro da Administração Interna  Cor. António Gonçalves Ribeiro  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado da Administração Interna  Dr. José Manuel Marques Leandro  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DA JUSTIÇA  Ministro da Justiça  Dr. Mário Ferreira Bastos Raposo  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78    MINISTÉRIO DOS NEGÓCIOS ESTRANGEIROS  Ministro dos Negócios Estrangeiros  Engº. Carlos Jorge Mendes Corrêa Gago  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado dos Negócios Estrangeiros e da Emigração  Dr. Paulo Manuel Lage David Ennes  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DA AGRICULTURA E PESCAS  Ministro da Agricultura e Pescas  Prof. Apolinário José Barbosa da Cruz Vaz Portugal  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado da Estruturação Agrária  Dr. Augusto Martins Ferreira do Amaral  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado do Fomento Agrário e das Florestas  Engº. Francisco de Paula Ferreira Moniz Borba  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado das Pescas  Dr. João de Albuquerque  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DA INDÚSTRIA E TECNOLOGIA  Ministro da Indústria e Tecnologia  Engº. Fernando Augusto dos Santos Martins  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado da Energia e da Indústria de Base  Dr. Abel Pinto Repolho Correia  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado das Indústrias Extractivas e Transformadora  Engº. José Manuel Capelo Soares da Fonseca  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DO COMÉRCIO E TURISMO  Ministro do Comércio e Turismo  Engº. Pedro José Rodrigues Pires de Miranda  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado do Comércio Interno  Dr. António Escaja Gonçalves  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado do Comércio Externo  Dr. António José Baptista Cardoso e Cunha  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado do Turismo  Dr. João Gualberto Coentro Saraiva Padrão  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DO TRABALHO  Ministro do Trabalho  Dr. António de Seixas da Costa Leal  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado do Trabalho  Dr. José Acácio Dimas de Lacerda  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado da População e Emprego  Dr. Acácio Ferreira Catarino  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DA EDUCAÇÃO E CULTURA  Ministro da Educação e Cultura  Prof. Carlos Alberto Lloyd Braga  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Subsecretário de Estado Adjunto do Ministro da Educucação e Cultura  Engº. Carlos Moura Pulido  Decreto nº 92/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado do Ensino Superior e Investigação Científica  Prof. Eduardo Romano Arantes e Oliveira  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado do Ensino Básico e Secundário  Dr. António de Almeida Costa  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado da Cultura  Drª. Maria Teresa Doria Monteiro Santa Clara Gomes  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado da Juventude e dos Desportos  Ten. Cor. Art. Rodolfo António Cabrita Bacelar Begonha  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DOS ASSUNTOS SOCIAIS  Ministro dos Assuntos Sociais  Dr. Acácio Manuel Pereira Magro  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado da Saúde  Dr. Mário José Gomes Marques  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado da Segurança Social  Prof. Coriolano Albino Ferreira  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DOS TRANSPORTES E COMUNICAÇÕES  Ministro dos Transportes e Comunicações  Engº. Amílcar José de Gouveia Marques  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado dos Transportes  Dr. Rogério do Ouro Lameira  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado da Marinha Mercante  Engº. Fernando Augusto de Resende Sobral Cid  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DA HABITAÇÃO E OBRAS PÚBLICAS  Ministro da Habitação e Obras Públicas  Engº. João Orlindo Almeida Pina  Decreto nº 86/78  DR., I Sér., nº 198, Supl., 29/8/78   Secretário de Estado da Habitação  Engº. José Augusto Gonçalves Ramos  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado das Obras Públicas  Engº. Mário de Adriano de Moura e Castro Brandão Fernandes de Azevedo  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78   Secretário de Estado do Ord. Fís. e Rec. Hídr. e Ambiente  Engº. Baltazar António de Morais Barroco  Decreto nº 91/78  DR., I Sér., nº 206, Supl., 7/9/78    MINISTÉRIO DA REPÚBLICA NA REGIÃO AUTÓNOMA DA MADEIRA  Coronel Piloto Aviador Lino Dias Miguel  Decreto nº 673/76  DR., I Série, nº 201, Supl., de 27/8/76    MINISTÉRIO DA REPÚBLICA NA REGIÃO AUTÓNOMA DOS AÇORES  General Octávio de Carvalho Galvão de Figueiredo  Decreto nº 674/76  DR., I Série, nº 201, Supl., de 27/8/76  Exonerado: Decreto nº 93-A/78  DR., I Sér., nº 209, Supl., 11/9/78  Alm. Henrique Afonso da Silva Horta  Decreto nº 93-B/78  DR., I Sér., nº 209, Supl., 11/9/78  Exonerado: Decreto nº 50/81  DR., I Sér., nº 97, Supl., 28/4/78    "
ABEL BAPTISTA,https://arquivo.pt/noFrame/replay/20050621182756id_/http://www.publico.pt/nos/fichatecnica.html,CORRESPONDENTES NACIONAIS Alcobaça: Amadeu Leal Amadora: Paulo Correia; Barcelos: Francisco Fonseca; Barreiro/Moita: Luís Bonixe; Beja: Carlos Dias e António Carrapato (fotógrafo); Bragança: Ana Fragoso; Caldas da Rainha: Rui Tibério e Mário Caldeira (fotográfo); Castelo Branco: Fátima Lopes Cardoso; Entroncamento: Manuel Fernandes Vicente; Évora: José Pinto de Sá e António Carrapato (fotógrafo); Guarda: Gustavo Brás; Leiria: Alexandra Barata e Joaquim Dâmaso (fotógrafo); Nazaré: Manuel António Sequeira e Mário Caldeira (fotográfo); Oeiras/Loures/Odivelas: Catarina Serra Lopes; Portalegre: Antonieta Félix e António Carrapato (fotógrafo); Póvoa de Varzim: Angelo Teixeira Marques; Sines: Raúl Oliveira; Setúbal: Miguel Moiteiro Marques e José Luís Costa (fotógrafo); Torres Vedras: Jorge Humberto e Mário Caldeira (fotográfo); Viana do Castelo: António Gonçalves; Vila Franca de Xira: Jorge Talixa
